County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location,Counties,New York Zip Codes,Latitude,Longitude
New York,628923,Store,JABCH ,HOT BREAD KITCHEN LTD            ,HOT BREAD KITCHEN      ,1590,PARK AVE                    ,             ,               ,NEW YORK          ,NY,10029,5000,"{'latitude': '40.797763', 'longitude': '-73.944561', 'human_address': '{""address"": ""1590 PARK AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10029""}'}",2095.0,756.0,40.797763,-73.944561
New York,716902,Store,JACD  ,J2 GAO INC                       ,J2 GAO                 ,41,MONROE ST                     ,             ,               ,NEW YORK          ,NY,10002,2500,"{'latitude': '40.711577', 'longitude': '-73.994509', 'human_address': '{""address"": ""41 MONROE ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.711577,-73.994509
New York,729668,Store,JACDK ,JIAN XIAN SEAFOOD WHOLESALE INC  ,JIAN XIAN SEAFOOD WHOLE,28,MARKET ST. BASEMENT       ,             ,               ,NEW YORK          ,NY,10002,1200,"{'latitude': '40.712811', 'longitude': '-73.994449', 'human_address': '{""address"": ""28 MARKET ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.712811,-73.994449
New York,629101,Store,JABCH ,KONG WAH BAKERY INC              ,KONG WAH BAKERY        ,210,GRAND ST                     ,             ,               ,NEW YORK          ,NY,10013,3000,"{'latitude': '40.71895', 'longitude': '-73.996208', 'human_address': '{""address"": ""210 GRAND ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.71895,-73.996208
New York,719929,Store,JAD   ,LEBRON 2015 EQUIPMENT & SUPPLY CO,LEBRON 2015 EQUIPMENT S,3835,9TH AVENUE                  ,             ,               ,NEW YORK          ,NY,10034,27000,"{'latitude': '40.862659', 'longitude': '-73.917833', 'human_address': '{""address"": ""3835 9TH AVENUE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10034""}'}",2095.0,793.0,40.862659,-73.917833
New York,621966,Store,JACH  ,783 MANHATTAN FRUIT EXCHANGE INC ,MANHATTAN FRUIT EXCHGE ,448,W 16TH ST                    ,             ,               ,NEW YORK          ,NY,10011,13500,"{'latitude': '40.743031', 'longitude': '-74.006216', 'human_address': '{""address"": ""448 W 16TH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095.0,735.0,40.743031,-74.006216
New York,623787,Store,JACH  ,MANHATTAN LOBSTER PLACE LLC      ,MANHATTAN LOBSTER PLACE,75,9TH AVE                       ,             ,               ,NEW YORK          ,NY,10011,14000,"{'latitude': '40.742227', 'longitude': '-74.004466', 'human_address': '{""address"": ""75 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095.0,735.0,40.742227,-74.004466
New York,621280,Store,JACH  ,W.I.N.INC                        ,MAY WAH VEGETARIAN MKT ,213,HESTER ST                    ,             ,               ,NEW YORK          ,NY,10013,1000,"{'latitude': '40.718552', 'longitude': '-73.999087', 'human_address': '{""address"": ""213 HESTER ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.718552,-73.999087
New York,625914,Store,JADO  ,MAZZELLA CARL                    ,MAZZELLAS  MARKET      ,694,9TH AVE                  ,             ,               ,NEW YORK          ,NY,10036,4000,"{'latitude': '40.76206', 'longitude': '-73.989994', 'human_address': '{""address"": ""694 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10036""}'}",2095.0,795.0,40.76206,-73.989994
New York,628103,Store,JADK  ,HT & E COMPANY LTD               ,MEAT CENTRE            ,208,CENTRE ST                ,             ,               ,NEW YORK          ,NY,10013,5000,"{'latitude': '40.719118', 'longitude': '-73.999059', 'human_address': '{""address"": ""208 CENTRE ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.719118,-73.999059
New York,743047,Store,JAO   ,NEW SHING HING CORP              ,NEW SHING HING         ,141,MOTT ST                      ,             ,               ,NEW YORK          ,NY,10013,2000,"{'latitude': '40.718659', 'longitude': '-73.996648', 'human_address': '{""address"": ""141 MOTT ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.718659,-73.996648
New York,620204,Store,JACDK ,PIEMONTE HOME MADE RAVIOLI CO INC,PIEMONTE HOMEMD RAVIOLI,190,GRAND ST                     ,             ,               ,NEW YORK          ,NY,10013,8000,"{'latitude': '40.719261', 'longitude': '-73.997123', 'human_address': '{""address"": ""190 GRAND ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.719261,-73.997123
New York,621658,Store,JACHK ,PO WING HONG FOOD MARKET INC     ,PO WING HONG FOOD MRKT ,49,ELIZABETH ST                  ,             ,               ,NEW YORK          ,NY,10013,8000,"{'latitude': '40.717101', 'longitude': '-73.996624', 'human_address': '{""address"": ""49 ELIZABETH ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.717101,-73.996624
New York,624015,Store,JACD  ,RUSS&DAUGHTERS LLC               ,RUSS&DAUGHTERS         ,179,E HOUSTON ST                 ,             ,               ,NEW YORK          ,NY,10002,5000,"{'latitude': '40.722727', 'longitude': '-73.988205', 'human_address': '{""address"": ""179 E HOUSTON ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.722727,-73.988205
New York,625181,Store,JACDHK,SEA BREEZE FISH MARKET INC       ,SEA BREEZE FISH MARKET ,541,9TH AVE                      ,             ,               ,NEW YORK          ,NY,10018,2200,"{'latitude': '40.7573', 'longitude': '-73.993437', 'human_address': '{""address"": ""541 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10018""}'}",2095.0,741.0,40.7573,-73.993437
New York,622949,Store,JDA   ,SHING HING TRADING CORP          ,SHING HING TRADING     ,139,MOTT ST                      ,             ,               ,NEW YORK          ,NY,10013,2000,"{'latitude': '40.718591', 'longitude': '-73.996684', 'human_address': '{""address"": ""139 MOTT ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.718591,-73.996684
New York,709428,Store,JACD  ,SOS CHEFS OF NEW YORK INC        ,SOS CHEFS OF NEW YORK  ,104,AVENUE B                     ,             ,               ,NEW YORK          ,NY,10009,1000,"{'latitude': '40.724826', 'longitude': '-73.981374', 'human_address': '{""address"": ""104 AVENUE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10009""}'}",2095.0,724.0,40.724826,-73.981374
New York,627712,Store,JACD  ,SUN HING LUNG CO INC             ,SUN HING LUNG          ,58,HENRY ST                      ,             ,               ,NEW YORK          ,NY,10002,3000,"{'latitude': '40.712974', 'longitude': '-73.995068', 'human_address': '{""address"": ""58 HENRY ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.712974,-73.995068
New York,725246,Store,JACH  ,THE PICKLE GUYS INC              ,THE PICKLE GUYS        ,357,GRAND STREET                 ,             ,               ,NEW YORK          ,NY,10002,3000,"{'latitude': '40.716053', 'longitude': '-73.987193', 'human_address': '{""address"": ""357 GRAND STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.716053,-73.987193
New York,624085,Store,JABH  ,TWO LITTLE RED HENS LTD          ,TWO LITTLE RED HENS    ,1652,2ND AVE                     ,             ,               ,NEW YORK          ,NY,10028,1200,"{'latitude': '40.777606', 'longitude': '-73.951928', 'human_address': '{""address"": ""1652 2ND AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10028""}'}",2095.0,755.0,40.777606,-73.951928
New York,731573,Store,JAD   ,Y F T TRADING INC                ,Y F T TRADING          ,118,MADISON STREET               ,             ,               ,NEW YORK          ,NY,10002,800,"{'latitude': '40.712278', 'longitude': '-73.994757', 'human_address': '{""address"": ""118 MADISON STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.712278,-73.994757
