County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Location,Counties,New York Zip Codes,Latitude,Longitude
New York,628696,Store,JACD  ,212 GRAND FOOD CORP              ,212 GRAND FOOD         ,212,GRAND ST               ,             ,               ,NEW YORK          ,NY,10013,1050,"{'latitude': '40.718926', 'longitude': '-73.996131', 'human_address': '{""address"": ""212 GRAND ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10013""}'}",2095.0,737.0,40.718926,-73.996131
New York,731206,Store,JACD  ,CJS WHOLESALERS                  ,AJS WHOLESALERS/MANDEL ,152,WEST 36TH STREET 1ST FLOOR   ,             ,               ,NEW YORK          ,NY,10018,1200,"{'latitude': '40.751986', 'longitude': '-73.988994', 'human_address': '{""address"": ""152 WEST 36TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10018""}'}",2095.0,741.0,40.751986,-73.988994
New York,729405,Store,JACD  ,PRIME NOW LLC                    ,AMAZONFRESH - JFK2     ,7,W 34TH STREET 5TH FLOOR        ,             ,               ,NEW YORK          ,NY,10001,0,"{'latitude': '40.748805', 'longitude': '-73.985419', 'human_address': '{""address"": ""7 W 34TH STREET"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10001""}'}",2095.0,717.0,40.748805,-73.985419
New York,626465,Store,JACD  ,AQUA BEST INC                    ,AQUA BEST              ,276,GRAND ST                     ,             ,               ,NEW YORK          ,NY,10002,2000,"{'latitude': '40.717822', 'longitude': '-73.992757', 'human_address': '{""address"": ""276 GRAND ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.717822,-73.992757
New York,621802,Store,JABCHK,NIGHTINGALE BAKERY CORP          ,BAGEL PLUS             ,2306,1ST AVE                     ,             ,               ,NEW YORK          ,NY,10035,3000,"{'latitude': '40.797524', 'longitude': '-73.934294', 'human_address': '{""address"": ""2306 1ST AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10035""}'}",2095.0,794.0,40.797524,-73.934294
New York,621735,Store,JABCH ,P&H 49 CORP                      ,BAGELS ON THE SQUARE   ,7,CARMINE ST                     ,             ,               ,NEW YORK          ,NY,10014,3000,"{'latitude': '40.73044', 'longitude': '-74.002092', 'human_address': '{""address"": ""7 CARMINE ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10014""}'}",2095.0,738.0,40.73044,-74.002092
New York,623223,Store,JABCD ,MISONO FOOD LTD                  ,BUONITALIA             ,75,9TH AVE                       ,             ,               ,NEW YORK          ,NY,10011,11000,"{'latitude': '40.742227', 'longitude': '-74.004466', 'human_address': '{""address"": ""75 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095.0,735.0,40.742227,-74.004466
New York,711889,Store,JADHK ,CITIWAVE TRADING INC             ,CITIWAVE TRADING       ,17,LUDLOW ST                     ,             ,               ,NEW YORK          ,NY,10002,2000,"{'latitude': '40.71524', 'longitude': '-73.990847', 'human_address': '{""address"": ""17 LUDLOW ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.71524,-73.990847
New York,628845,Store,JADK  ,DAI SING CORP                    ,DAI SING               ,100,DIVISION ST                  ,             ,               ,NEW YORK          ,NY,10002,50000,"{'latitude': '40.714341', 'longitude': '-73.993332', 'human_address': '{""address"": ""100 DIVISION ST"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10002""}'}",2095.0,718.0,40.714341,-73.993332
New York,625374,Store,JABH  ,FAT WITCH BAKERY INC             ,FAT WITCH BAKERY       ,75,9TH AVE                       ,             ,               ,NEW YORK          ,NY,10011,2000,"{'latitude': '40.742227', 'longitude': '-74.004466', 'human_address': '{""address"": ""75 9TH AVE"", ""city"": ""NEW YORK"", ""state"": ""NY"", ""zip"": ""10011""}'}",2095.0,735.0,40.742227,-74.004466
